# id|type|lat|lon|title|detail|direction|limit
TP-S-1|SPEED|25.07450558|121.51993330|測速照相|承德路3段 敦煌路口|南北雙向|50
TP-S-2|SPEED|25.06589275|121.50886740|測速照相|環河北路2段 昌吉街口|南北雙向|50(往北) 60(往南)
TP-S-3|SPEED|25.06287864|121.51083240|測速照相|台北橋機車道下橋 近民權西路與延平北路口|西向東|40
TP-S-4|RED_LIGHT|25.06042103|121.51823310|闖紅燈照相|承德路2段 錦西街口|北向南|50
TP-S-5|RED_LIGHT|25.04887127|121.51676460|闖紅燈照相|承德路 市民大道口(東北)|東向西|40
TP-S-6|RED_LIGHT|25.05695040|121.51819140|闖紅燈照相|民生西路 承德路2段口|南向北|\
TP-S-7|SPEED|25.03301693|121.49668430|測速照相|艋舺大道297號前 台糖公司前|東向西|50
TP-S-8|SPEED|25.03051254|121.48971240|測速照相|萬板大橋 台北端引道|往台北市|50
TP-S-9|SPEED|25.04378495|121.50042230|測速照相|環河南路快速道路 中興橋匝道(環河南路2段250巷口)|北向南|60
TP-S-10|SPEED|25.03531226|121.49719250|測速照相|和平西路3段199號前|西向東|50
TP-S-11|SPEED|25.04454625|121.50113500|測速照相|環河南路1段77號對面|北向南|40
TP-S-12|SPEED|25.01908628|121.49715150|測速照相|華中橋頭 萬大路口|南北雙向|50
TP-S-13|SPEED|25.04001469|121.50749160|測速照相|中華路1段406號廣場前|北向南|50
TP-S-14|SPEED|25.04151351|121.49905670|測速照相|貴陽疏散門外堤外便道|南向北|40
TP-S-15|RED_LIGHT|25.03328791|121.50253930|闖紅燈照相|艋舺大道 120巷口|東向西|50
TP-S-16|RED_LIGHT|25.03027803|121.49323070|闖紅燈照相|艋舺大道 雙園街口|西向東|50
TP-S-17|RED_LIGHT|25.03895031|121.50732600|闖紅燈照相|中華路1段 貴陽路口|南向北|50
TP-S-18|RED_LIGHT|25.02990258|121.49624260|闖紅燈照相|西園路2段 140巷口|南向北|50
TP-S-19|SPEED|25.02610889|121.49274690|測速照相|西園路2段 光復橋頭往新北市|東西雙向|50
TP-S-20|SPEED|25.05268643|121.53671590|測速照相|建國高架道 長春路入口|北向南|70
TP-S-21|SPEED|25.06652700|121.52773700|測速照相|新生北路高架道 民族東路入口|北向南|70
TP-S-22|SPEED|25.07178967|121.54432930|測速照相|復興北路 車行地下道北出口處|南向北|40
TP-S-23|SPEED|25.07656613|121.56635280|測速照相|樂群一路 基湖路口西往東天橋下(金泰公園)|西向東|50
TP-S-24|SPEED|25.07762563|121.54076760|測速照相|明水路325號前|東西雙向|50
TP-S-25|SPEED|25.04463181|121.54244350|測速照相|市民高架道 下建國南路|東西雙向|80
TP-S-26|SPEED|25.07790066|121.53638610|測速照相|北安路 海軍司令部前|東西雙向|50
TP-S-27|SPEED|25.04820806|121.51983360|測速照相|市民大道(高架道) 京站百貨前|西向東|80
TP-S-28|SPEED|25.06500011|121.53656780|測速照相|建國北路 農安街口|北向南|50
TP-S-29|RED_LIGHT|25.06208253|121.53716730|闖紅燈照相|民權東路 建國北路口|南向北|50
TP-S-30|RED_LIGHT|25.05779164|121.54189130|闖紅燈照相|民生東路3段 遼寧街口（台北大學前）|西向東|50
TP-S-31|RED_LIGHT|25.08565489|121.55305960|闖紅燈照相|北安路 明水路口（劍南路口前端）|東向西|50
TP-S-32|RED_LIGHT|25.06849636|121.53310120|闖紅燈照相|松江路 民族東路口|北向南|50
TP-S-33|RED_LIGHT|25.04814840|121.53685530|闖紅燈照相|建國北路1段 長安東路口|南向北|50
TP-S-34|RED_LIGHT|25.05813230|121.54413090|闖紅燈照相|復興北路 民生東路口|北向南|50
TP-S-35|RED_LIGHT|25.05835785|121.52279800|闖紅燈照相|中山北路2段 民生西路口|北向南|50
TP-S-36|RED_LIGHT|25.06446188|121.53326190|闖紅燈照相|松江路 農安街口|南向北|50
TP-S-37|SPEED|25.05473185|121.52277020|測速照相|中山北路2段 長春路口|南往北|50
TP-S-38|SPEED|25.01850222|121.54592260|測速照相|基隆高架道 下敦化南路段|南向北|60
TP-S-39|SPEED|25.01722043|121.54878600|測速照相|辛亥路3段 157巷口(下北二高)|東向西|50
TP-S-40|SPEED|25.03034497|121.53369040|測速照相|新生南路 金華街口|北向南|50
TP-S-41|SPEED|25.02673255|121.52676730|測速照相|和平東路1段 國立師範大學前|西向東|50
TP-S-42|SPEED|25.02772621|121.53784180|測速照相|建國南路2段179號前|南向北|50
TP-S-43|SPEED|25.04447030|121.53995410|測速照相|市民大道3段214號前|西向東|40
TP-S-44|SPEED|25.01659683|121.54380550|測速照相|基隆路3段 長興街口|南向北|50
TP-S-45|SPEED|25.02612189|121.53763630|測速照相|建國高架道 和平東路上方|北向南|70
TP-S-46|SPEED|25.02003322|121.53407300|測速照相|新生南路3段 58號台大側門|南向北|50
TP-S-47|SPEED|25.04447883|121.55215100|測速照相|市民高架道 下光復南路|東西雙向|80
TP-S-48|RED_LIGHT|25.02125585|121.54103370|闖紅燈照相|辛亥路2段 台大語文中心(快車道)|西向東|50
TP-S-49|RED_LIGHT|25.02259143|121.55437700|闖紅燈照相|和平東路3段 228巷口|西向東|50
TP-S-50|RED_LIGHT|25.02492164|121.54865890|闖紅燈照相|敦化南路2段 和平東路口|北向南|50
TP-S-51|RED_LIGHT|25.03319660|121.55697680|闖紅燈照相|光復南路 信義路4段口北側|西向東|\
TP-S-52|SPEED|25.04308855|121.50863300|測速照相|中華路1段53號前|南向北|50
TP-S-53|SPEED|25.03827359|121.53012240|測速照相|仁愛路2段61號前右車道 臨沂街口|東向西|50
TP-S-54|SPEED|25.04297255|121.51890670|測速照相|中山南路 近濟南路1段口|北向南|50
TP-S-55|SPEED|25.02855774|121.51563190|測速照相|重慶南路3段 27巷口|南北雙向|50
TP-S-56|SPEED|25.02085895|121.52017660|測速照相|水源快速道路 同安街口|南向北|60
TP-S-57|RED_LIGHT|25.04299561|121.51890360|闖紅燈照相|中山南路 濟南路口|南向北|50
TP-S-58|RED_LIGHT|25.03927407|121.52868720|闖紅燈照相|金山南路 銅山街口|南向北|50
TP-S-59|RED_LIGHT|25.04474960|121.52367330|闖紅燈照相|忠孝東路1段 林森南路口|東向西|50
TP-S-60|RED_LIGHT|25.02882606|121.51252420|闖紅燈照相|和平西路2段 寧波西街口|東向西|50
TP-S-61|RED_LIGHT|25.02778920|121.51582860|闖紅燈照相|重慶南路3段 和平西路口|北向南|50
TP-S-62|SPEED|25.02918210|121.51180000|測速照相|和平西路 寧波西街口|西向東|50
TP-S-63|SPEED|25.05794115|121.55185240|測速照相|民生東路4段 97巷口|西向東|50
TP-S-64|SPEED|25.06684145|121.54431020|測速照相|復興北路 車行地下道南出口處|北向南|40
TP-S-65|SPEED|25.05426405|121.56563560|測速照相|健康路300號前|東西雙向|50
TP-S-66|SPEED|25.06200353|121.56849990|測速照相|塔悠路 近撫遠街261巷口|北向南|50
TP-S-67|SPEED|25.06210619|121.55746550|測速照相|民權東路4段 民權公園前|東西雙向|50
TP-S-68|SPEED|25.05169217|121.55303660|測速照相|南京東路4段 健康路口|東西雙向|50
TP-S-69|RED_LIGHT|25.04785991|121.54894740|闖紅燈照相|敦化南路 八德路口|南往北|50
TP-S-70|RED_LIGHT|25.06287430|121.56337100|闖紅燈照相|民權東路4段 三民路口|東向西|50
TP-S-71|SPEED|25.04762719|121.56397230|測速照相|市民大道5段50號前 近東寧路口|西向東|50
TP-S-72|SPEED|25.04131564|121.55988270|測速照相|忠孝東路4段 近逸仙路口|東西雙向|50
TP-S-73|SPEED|25.02906139|121.55730870|測速照相|基隆路二段109號前|南往北|50
TP-S-74|SPEED|25.04768719|121.56849520|測速照相|基隆路1段49號前|南向北|50
TP-S-75|SPEED|25.04562590|121.57244540|測速照相|永吉路 松信路口|東向西|50
TP-S-76|RED_LIGHT|25.03614952|121.56835500|闖紅燈照相|松仁路 松壽路口|北向南|50
TP-S-77|RED_LIGHT|25.03620119|121.56133520|闖紅燈照相|基隆路 松壽路口|北向南|50
TP-S-78|RED_LIGHT|25.03577554|121.55748870|闖紅燈照相|光復南路 456巷口|北向南|50
TP-S-79|SPEED|25.08245929|121.50737190|測速照相|環河北路3段 葫蘆街口|南向北|50
