# icid|name|longitude|latitude
I0SSA|老泉街　　　　防汛道路|121.55754|24.976234
I0XRU|木新路三段　　232巷|121.55911|24.981323
I0YPB|木新路三段　　寶橋路|121.554054|24.98002
I0YRZ|老泉街　　　　恆光橋頭|121.56776|24.979765
I0ZPQ|木新路三段　　一壽街|121.55637|24.980597
I0ZPV|木新路三段　　310巷|121.55716|24.98081
I0ZSL|興隆路四段　　122,213巷|121.56234|24.982647
I0ZTB|保儀路13巷　　26巷|121.56861|24.988333
I0ZTJ|恆光街　　　　恆光橋|121.567024|24.9825
I15QC|木新路三段　　278巷|121.55807|24.981054
I16QG|木新路三段　　200號|121.559944|24.981512
I17P9|辛亥路七段　　76巷|121.5537|24.981972
I17QN|木新路三段　　155,172巷|121.560905|24.981737
I18QX|興隆路四段　　木新路三段|121.56254|24.982117
I1ARC|木新路三段　　50巷|121.5642|24.982489
I1ARI|木新路二段　　保儀路|121.5655|24.982847
I1AU6|木新路二段　　111巷|121.569824|24.984411
I1CPB|辛亥路七段　　忠順街一段|121.55402|24.983208
I1CPQ|忠順街一段　　木新路三段310巷|121.55632|24.983313
I1CRT|木新路二段　　恆光街|121.56673|24.983301
I1CSC|木新路二段161巷　　12弄|121.569145|24.9832
I1DNP|木柵路一段　　58,89巷|121.5473|24.986965
I1DPU|忠順街一段　　實踐國小|121.55707|24.983595
I1DQU|辛亥路七段　　光輝路21巷|121.55379|24.985535
I1DSE|興隆路四段　　58巷|121.56127|24.985552
I1ESA|木新路二段　　161巷|121.56879|24.984015
I1EUF|指南路二段　　政大一街|121.57982|24.985828
I1FQB|忠順街一段　　26巷|121.55913|24.984085
I1FQR|辛亥路七段　　20巷|121.55314|24.986582
I1GQS|興隆路四段　　忠順街二段|121.561676|24.984468
I1GQT|西安街一段　　文林北路94巷|121.51992|25.107777
I1HPC|辛亥路七段　　光輝路50巷|121.554184|24.984844
I1HPR|光輝路　　　　光輝路71巷|121.556595|24.984936
I1HRS|保儀路　　　　忠順街二段|121.566765|24.984728
I1IUI|指南路三段    　2巷|121.57993|24.985355
I1KRW|保儀路　　　　永安街22巷|121.56833|24.986834
I1KSL|木新路二段　　永安街|121.57065|24.986624
I1KVJ|指南路二段　　147巷|121.577225|24.987368
I1LRR|木柵路三段66巷　台灣戲曲學校|121.56677|24.986874
I1LRY|保儀路　　　　景文高中|121.56727|24.985397
I1MPY|下崙路　　　　光輝路71巷|121.55625|24.986195
I1MS5|萬美街一段　　萬和街|121.566795|25.002068
I1NMM|木柵路一段　　和興路|121.545975|24.98674
I1NP5|辛亥路七段　　26巷|121.55334|24.986172
I1NQM|興隆路四段　　下崙路|121.56091|24.986628
I1NTY|木新路一段　　指南路一段51巷|121.57064|24.9887
