#icid|plan|direction|cycle|offset|phaseorder|subphases(g,y,r,p)
I0SSA|1|0|30|0|B0|10,3,2,7;10,3,2,7
I0SSA|2|0|30|0|B0|10,3,2,7;10,3,2,7
I0SSA|3|0|30|0|B0|10,3,2,7;10,3,2,7
I0SSA|4|0|30|0|B0|10,3,2,7;10,3,2,7
I0SSA|5|0|30|0|B0|10,3,2,7;10,3,2,7
I0SSA|6|0|30|0|B0|10,3,2,7;10,3,2,7
I0SSA|7|0|30|0|B0|10,3,2,7;10,3,2,7
I0SSA|8|0|30|0|B0|10,3,2,7;10,3,2,7
I0SSA|9|0|45|0|00|15,3,2,7;20,3,2,7
I0SSA|10|0|45|0|00|15,3,2,7;20,3,2,7
I0SSA|11|0|30|0|B0|10,3,2,7;10,3,2,7
I0SSA|12|0|30|0|B0|10,3,2,7;10,3,2,7
I0SSA|20|0|36|11|B0|13,3,2,7;13,3,2,7
I0SSA|33|0|30|0|B0|10,3,2,7;10,3,2,7
I0SSA|34|0|30|0|B0|10,3,2,7;10,3,2,7
I0SSA|35|0|30|0|B0|10,3,2,7;10,3,2,7
I0SSA|48|0|45|0|00|15,3,2,7;20,3,2,7
I0XRU|1|2|120|0|0A|3,0,0,0;79,3,2,14;3,0,0,0;25,3,2,7
I0XRU|2|2|120|0|0A|3,0,0,0;79,3,2,14;3,0,0,0;25,3,2,7
I0XRU|3|2|120|0|0A|3,0,0,0;79,3,2,14;3,0,0,0;25,3,2,7
I0XRU|4|2|120|0|0A|3,0,0,0;79,3,2,14;3,0,0,0;25,3,2,7
I0XRU|5|2|120|10|00|82,3,2,14;28,3,2,7
I0XRU|6|2|90|10|00|48,3,2,14;32,3,2,7
I0XRU|7|2|120|0|0A|3,0,0,0;79,3,2,14;3,0,0,0;25,3,2,7
I0XRU|8|2|120|0|0A|3,0,0,0;79,3,2,14;3,0,0,0;25,3,2,7
I0XRU|9|2|120|0|0A|3,0,0,0;77,3,2,14;3,0,0,0;27,3,2,7
I0XRU|10|2|120|0|0A|3,0,0,0;77,3,2,14;3,0,0,0;27,3,2,7
I0XRU|11|2|120|0|0A|3,0,0,0;77,3,2,14;3,0,0,0;27,3,2,7
I0XRU|12|2|120|0|0A|3,0,0,0;79,3,2,14;3,0,0,0;25,3,2,7
I0XRU|13|2|120|0|0A|3,0,0,0;77,3,2,14;3,0,0,0;27,3,2,7
I0XRU|33|2|120|0|00|82,3,2,7;28,3,2,7
I0XRU|34|2|100|0|00|82,3,2,7;28,3,2,7
I0XRU|35|2|100|0|00|82,3,2,7;28,3,2,7
I0XRU|48|2|120|0|00|82,3,2,14;28,3,2,7
I0YPB|1|6|120|0|84|73,3,2,7;37,3,2,7
I0YPB|2|6|120|0|84|60,3,2,7;50,3,2,7
I0YPB|3|6|120|0|84|60,3,2,7;50,3,2,7
I0YPB|4|6|120|0|84|60,3,2,7;50,3,2,7
I0YPB|5|6|90|0|84|48,3,2,7;32,3,2,7
I0YPB|6|6|90|0|84|48,3,2,7;32,3,2,7
I0YPB|7|6|120|0|84|60,3,2,7;50,3,2,7
I0YPB|8|6|120|0|84|60,3,2,7;50,3,2,7
I0YPB|9|6|120|115|84|67,3,2,7;43,3,2,7
I0YPB|10|6|120|0|84|62,3,2,7;48,3,2,7
I0YPB|11|6|120|115|84|67,3,2,7;43,3,2,7
I0YPB|12|6|120|0|84|75,3,2,7;35,3,2,7
I0YPB|13|6|120|0|84|60,3,2,7;50,3,2,7
I0YPB|14|6|120|115|84|67,3,2,7;43,3,2,7
I0YPB|15|6|120|0|84|60,3,2,7;50,3,2,7
I0YPB|16|6|120|115|84|67,3,2,7;43,3,2,7
I0YPB|17|6|120|0|84|60,3,2,7;50,3,2,7
I0YPB|33|6|120|0|84|75,3,2,7;35,3,2,7
I0YPB|34|6|100|0|84|55,3,2,7;35,3,2,7
I0YPB|35|6|100|0|84|55,3,2,7;35,3,2,7
I0YPB|48|6|120|0|84|70,3,2,7;40,3,2,7
I0YRZ|1|0|60|0|0A|5,0,0,0;20,3,2,9;5,0,0,0;20,3,2,11
I0YRZ|2|0|60|0|0A|5,0,0,0;20,3,2,9;5,0,0,0;20,3,2,11
I0YRZ|3|0|60|0|0A|5,0,0,0;20,3,2,9;5,0,0,0;20,3,2,11
I0YRZ|4|0|60|0|0A|5,0,0,0;20,3,2,9;5,0,0,0;20,3,2,11
I0YRZ|5|0|40|0|00|15,3,2,9;15,3,2,11
I0YRZ|6|0|40|0|00|15,3,2,9;15,3,2,11
I0YRZ|7|0|60|0|0A|5,0,0,0;20,3,2,9;5,0,0,0;20,3,2,11
I0YRZ|8|0|60|0|0A|5,0,0,0;20,3,2,9;5,0,0,0;20,3,2,11
I0YRZ|9|0|60|0|0A|5,0,0,0;20,3,2,9;5,0,0,0;20,3,2,11
I0YRZ|10|0|60|0|0A|5,0,0,0;20,3,2,9;5,0,0,0;20,3,2,11
I0YRZ|11|0|60|0|0A|5,0,0,0;20,3,2,9;5,0,0,0;20,3,2,11
I0YRZ|12|0|60|0|0A|5,0,0,0;20,3,2,9;5,0,0,0;20,3,2,11
I0YRZ|33|0|60|0|B0|25,3,2,7;25,3,2,7
I0YRZ|34|0|50|0|B0|25,3,2,7;15,3,2,7
I0YRZ|35|0|50|0|B0|25,3,2,7;15,3,2,7
I0YRZ|48|0|60|0|00|25,3,2,9;25,3,2,11
I0ZPQ|1|2|120|0|81|3,0,0,0;76,3,3,19;5,0,0,0;25,3,2,12
I0ZPQ|2|2|120|0|81|3,0,0,0;76,3,3,19;5,0,0,0;25,3,2,12
I0ZPQ|3|2|120|0|81|3,0,0,0;76,3,3,19;5,0,0,0;25,3,2,12
I0ZPQ|4|2|120|0|81|3,0,0,0;76,3,3,19;5,0,0,0;25,3,2,12
I0ZPQ|5|2|90|0|00|54,3,3,19;25,3,2,12
I0ZPQ|6|2|90|0|00|54,3,3,19;25,3,2,12
I0ZPQ|7|2|120|0|81|3,0,0,0;66,3,3,19;5,0,0,0;35,3,2,12
I0ZPQ|8|2|120|0|81|3,0,0,0;76,3,3,19;5,0,0,0;25,3,2,12
I0ZPQ|9|2|120|0|81|3,0,0,0;71,3,3,19;13,0,0,0;22,3,2,12
I0ZPQ|10|2|120|0|81|3,0,0,0;71,3,3,19;13,0,0,0;22,3,2,12
I0ZPQ|11|2|120|0|81|3,0,0,0;64,3,3,19;13,0,0,0;29,3,2,12
I0ZPQ|12|2|120|0|81|3,0,0,0;64,3,3,19;13,0,0,0;29,3,2,12
I0ZPQ|13|2|120|0|81|3,0,0,0;64,3,3,19;13,0,0,0;29,3,2,12
