#icid|segmenttype|HHMM:plan,...
I0SSA|1|0000:5,0100:6,0500:11,0600:1,0700:9,0900:4,1100:4,1300:2,1400:2,1630:10,1900:8,2100:12,2300:5
I0SSA|1|0000:5,0100:6,0500:11,0600:1,0700:9,0900:4,1100:4,1300:2,1400:2,1630:10,1900:8,2100:12,2300:5
I0SSA|2|0000:5,0100:6,0500:11,0600:1,0700:9,0900:4,1100:4,1300:2,1400:2,1630:10,1900:8,2100:12,2300:5
I0SSA|3|0000:5,0100:6,0500:11,0600:1,0700:9,0900:4,1100:4,1300:2,1400:2,1630:10,1900:8,2100:12,2300:5
I0SSA|3|0000:5,0100:6,0500:11,0600:1,0700:9,0900:4,1100:4,1300:2,1400:2,1630:10,1900:8,2100:12,2300:5
I0SSA|4|0000:5,0100:6,0500:11,0600:1,0700:9,0900:4,1100:4,1300:2,1400:2,1630:10,1900:8,2100:12,2300:5
I0SSA|5|0000:5,0100:6,0500:11,0600:1,0700:9,0900:4,1100:4,1300:2,1400:2,1630:10,1900:8,2100:12,2300:5
I0SSA|5|0000:5,0100:6,0500:11,0600:1,0700:9,0900:4,1100:4,1300:2,1400:2,1630:10,1900:8,2100:12,2300:5
I0SSA|6|0000:5,0100:6,0500:1,0700:3,0900:7,1300:7,1900:3,2300:5
I0SSA|7|0000:5,0100:6,0500:1,0700:3,0900:7,1300:7,1900:3,2300:5
I0SSA|7|0000:5,0100:6,0500:1,0700:3,0900:7,1300:7,1900:3,2300:5
I0XRU|1|0000:5,0100:6,0500:1,0700:11,0800:9,0900:4,1100:4,1300:2,1400:2,1600:12,1630:13,1800:10,1900:8,2300:5
I0XRU|2|0000:5,0100:6,0500:1,0700:11,0800:9,0900:4,1100:4,1300:2,1400:2,1600:12,1630:13,1800:10,1900:8,2300:5
I0XRU|3|0000:5,0100:6,0500:1,0700:11,0800:9,0900:4,1100:4,1300:2,1400:2,1600:12,1630:13,1800:10,1900:8,2300:5
I0XRU|3|0000:5,0100:6,0500:1,0700:11,0800:9,0900:4,1100:4,1300:2,1400:2,1600:12,1630:13,1800:10,1900:8,2300:5
I0XRU|4|0000:5,0100:6,0500:1,0700:11,0800:9,0900:4,1100:4,1300:2,1400:2,1600:12,1630:13,1800:10,1900:8,2300:5
I0XRU|5|0000:5,0100:6,0500:1,0700:11,0800:9,0900:4,1100:4,1300:2,1400:2,1600:12,1630:13,1800:10,1900:8,2300:5
I0XRU|6|0000:5,0100:6,0500:1,0700:3,0900:7,1300:7,1630:7,1900:3,2200:3,2300:5
I0XRU|6|0000:5,0100:6,0500:1,0700:3,0900:7,1300:7,1630:7,1900:3,2200:3,2300:5
I0XRU|7|0000:5,0100:6,0500:1,0700:3,0900:7,1300:7,1630:7,1900:3,2200:3,2300:5
I0YPB|1|0000:5,0100:6,0500:1,0700:11,0800:9,0900:4,1100:4,1300:2,1400:2,1600:12,1630:13,1800:10,1900:8,2300:5
I0YPB|2|0000:5,0100:6,0500:1,0700:11,0800:9,0900:4,1100:4,1300:2,1400:2,1600:12,1630:13,1800:10,1900:8,2300:5
I0YPB|2|0000:5,0100:6,0500:1,0700:11,0800:9,0900:4,1100:4,1300:2,1400:2,1600:12,1630:13,1800:10,1900:8,2300:5
I0YPB|3|0000:5,0100:6,0500:1,0700:11,0800:9,0900:4,1100:4,1300:2,1400:2,1600:12,1630:13,1800:10,1900:8,2300:5
I0YPB|4|0000:5,0100:6,0500:1,0700:11,0800:9,0900:4,1100:4,1300:2,1400:2,1600:12,1630:13,1800:10,1900:8,2300:5
I0YPB|5|0000:5,0100:6,0500:1,0700:11,0800:9,0900:4,1100:4,1300:2,1400:2,1600:12,1630:13,1800:10,1900:8,2300:5
I0YPB|5|0000:5,0100:6,0500:1,0700:11,0800:9,0900:4,1100:4,1300:2,1400:2,1600:12,1630:13,1800:10,1900:8,2300:5
I0YPB|6|0000:5,0100:6,0500:1,0700:3,0900:7,1300:7,1630:7,1900:3,2200:3,2300:5
I0YPB|7|0000:5,0100:6,0500:1,0700:3,0900:7,1300:7,1630:7,1900:3,2200:3,2300:5
I0YRZ|1|0000:5,0100:6,0500:11,0600:1,0700:9,0900:4,1100:4,1300:2,1400:2,1630:10,1900:8,2100:12,2300:5
I0YRZ|2|0000:5,0100:6,0500:11,0600:1,0700:9,0900:4,1100:4,1300:2,1400:2,1630:10,1900:8,2100:12,2300:5
I0YRZ|2|0000:5,0100:6,0500:11,0600:1,0700:9,0900:4,1100:4,1300:2,1400:2,1630:10,1900:8,2100:12,2300:5
I0YRZ|2|0000:5,0100:6,0500:11,0600:1,0700:9,0900:4,1100:4,1300:2,1400:2,1630:10,1900:8,2100:12,2300:5
I0YRZ|3|0000:5,0100:6,0500:11,0600:1,0700:9,0900:4,1100:4,1300:2,1400:2,1630:10,1900:8,2100:12,2300:5
I0YRZ|3|0000:5,0100:6,0500:11,0600:1,0700:9,0900:4,1100:4,1300:2,1400:2,1630:10,1900:8,2100:12,2300:5
I0YRZ|3|0000:5,0100:6,0500:11,0600:1,0700:9,0900:4,1100:4,1300:2,1400:2,1630:10,1900:8,2100:12,2300:5
I0YRZ|4|0000:5,0100:6,0500:11,0600:1,0700:9,0900:4,1100:4,1300:2,1400:2,1630:10,1900:8,2100:12,2300:5
I0YRZ|4|0000:5,0100:6,0500:11,0600:1,0700:9,0900:4,1100:4,1300:2,1400:2,1630:10,1900:8,2100:12,2300:5
I0YRZ|5|0000:5,0100:6,0500:11,0600:1,0700:9,0900:4,1100:4,1300:2,1400:2,1630:10,1900:8,2100:12,2300:5
I0YRZ|6|0000:5,0100:6,0500:1,0700:3,0900:7,1300:7,1900:3,2300:5
I0YRZ|7|0000:5,0100:6,0500:1,0700:3,0900:7,1300:7,1900:3,2300:5
I0YRZ|7|0000:5,0100:6,0500:1,0700:3,0900:7,1300:7,1900:3,2300:5
I0ZPQ|1|0000:5,0100:6,0500:1,0700:11,0800:9,0900:4,1100:4,1300:2,1400:2,1600:12,1630:13,1800:10,1900:8,2300:5
I0ZPQ|2|0000:5,0100:6,0500:1,0700:11,0800:9,0900:4,1100:4,1300:2,1400:2,1600:12,1630:13,1800:10,1900:8,2300:5
I0ZPQ|2|0000:5,0100:6,0500:1,0700:11,0800:9,0900:4,1100:4,1300:2,1400:2,1600:12,1630:13,1800:10,1900:8,2300:5
I0ZPQ|3|0000:5,0100:6,0500:1,0700:11,0800:9,0900:4,1100:4,1300:2,1400:2,1600:12,1630:13,1800:10,1900:8,2300:5
I0ZPQ|3|0000:5,0100:6,0500:1,0700:11,0800:9,0900:4,1100:4,1300:2,1400:2,1600:12,1630:13,1800:10,1900:8,2300:5
I0ZPQ|4|0000:5,0100:6,0500:1,0700:11,0800:9,0900:4,1100:4,1300:2,1400:2,1600:12,1630:13,1800:10,1900:8,2300:5
I0ZPQ|5|0000:5,0100:6,0500:1,0700:11,0800:9,0900:4,1100:4,1300:2,1400:2,1600:12,1630:13,1800:10,1900:8,2300:5
I0ZPQ|6|0000:5,0100:6,0500:1,0700:3,0900:7,1300:7,1630:7,1900:3,2200:3,2300:5
I0ZPQ|7|0000:5,0100:6,0500:1,0700:3,0900:7,1300:7,1630:7,1900:3,2200:3,2300:5
I0ZPQ|7|0000:5,0100:6,0500:1,0700:3,0900:7,1300:7,1630:7,1900:3,2200:3,2300:5
I0ZPV|1|0000:5,0100:6,0500:1,0700:11,0800:9,0900:4,1100:4,1300:2,1400:2,1600:12,1630:13,1800:10,1900:8,2300:5
I0ZPV|2|0000:5,0100:6,0500:1,0700:11,0800:9,0900:4,1100:4,1300:2,1400:2,1600:12,1630:13,1800:10,1900:8,2300:5
I0ZPV|3|0000:5,0100:6,0500:1,0700:11,0800:9,0900:4,1100:4,1300:2,1400:2,1600:12,1630:13,1800:10,1900:8,2300:5
I0ZPV|4|0000:5,0100:6,0500:1,0700:11,0800:9,0900:4,1100:4,1300:2,1400:2,1600:12,1630:13,1800:10,1900:8,2300:5
I0ZPV|4|0000:5,0100:6,0500:1,0700:11,0800:9,0900:4,1100:4,1300:2,1400:2,1600:12,1630:13,1800:10,1900:8,2300:5
I0ZPV|4|0000:5,0100:6,0500:1,0700:11,0800:9,0900:4,1100:4,1300:2,1400:2,1600:12,1630:13,1800:10,1900:8,2300:5
