# id|region|road_class|structure|name|ref|layer|lat1|lon1|lat2|lon2|oneway|maxspeed
# OSM © OpenStreetMap contributors, ODbL 1.0; snapshot 2026-09-20.
TPE-4928571-0|TPE|HIGHWAY|ELEVATED|中山高速公路|1|1|25.0658319|121.6149665|25.0655285|121.6122662|yes|100
TPE-4928571-1|TPE|HIGHWAY|ELEVATED|中山高速公路|1|1|25.0655285|121.6122662|25.0653248|121.6106598|yes|100
TPE-5909607-0|TPE|HIGHWAY|RAMP|木柵交流道||0|25.0023739|121.5917272|25.0022801|121.5919736|yes|60
TPE-5909607-1|TPE|HIGHWAY|RAMP|木柵交流道||0|25.0022801|121.5919736|25.0021481|121.5926496|yes|60
TPE-5909607-2|TPE|HIGHWAY|RAMP|木柵交流道||0|25.0021481|121.5926496|25.0020780|121.5929871|yes|60
TPE-5909607-3|TPE|HIGHWAY|RAMP|木柵交流道||0|25.0020780|121.5929871|25.0020023|121.5932262|yes|60
TPE-5909607-4|TPE|HIGHWAY|RAMP|木柵交流道||0|25.0020023|121.5932262|25.0018912|121.5934403|yes|60
TPE-5909607-5|TPE|HIGHWAY|RAMP|木柵交流道||0|25.0018912|121.5934403|25.0017384|121.5936498|yes|60
TPE-5909607-6|TPE|HIGHWAY|RAMP|木柵交流道||0|25.0017384|121.5936498|25.0015886|121.5937904|yes|60
TPE-5909607-7|TPE|HIGHWAY|RAMP|木柵交流道||0|25.0015886|121.5937904|25.0014387|121.5939045|yes|60
TPE-5909607-8|TPE|HIGHWAY|RAMP|木柵交流道||0|25.0014387|121.5939045|25.0012738|121.5940005|yes|60
TPE-5909607-9|TPE|HIGHWAY|RAMP|木柵交流道||0|25.0012738|121.5940005|25.0011222|121.5940596|yes|60
TPE-5909607-10|TPE|HIGHWAY|RAMP|木柵交流道||0|25.0011222|121.5940596|25.0009720|121.5941237|yes|60
TPE-5909607-11|TPE|HIGHWAY|RAMP|木柵交流道||0|25.0009720|121.5941237|25.0007950|121.5941800|yes|60
TPE-18125773-0|TPE|HIGHWAY|TUNNEL|福德隧道|3|-1|25.0238513|121.6019365|25.0229261|121.6010617|yes|90
TPE-18125773-1|TPE|HIGHWAY|TUNNEL|福德隧道|3|-1|25.0229261|121.6010617|25.0220345|121.6003448|yes|90
TPE-18125773-2|TPE|HIGHWAY|TUNNEL|福德隧道|3|-1|25.0220345|121.6003448|25.0215141|121.6000673|yes|90
TPE-18125773-3|TPE|HIGHWAY|TUNNEL|福德隧道|3|-1|25.0215141|121.6000673|25.0208652|121.5996838|yes|90
TPE-18125773-4|TPE|HIGHWAY|TUNNEL|福德隧道|3|-1|25.0208652|121.5996838|25.0203888|121.5994531|yes|90
TPE-18125773-5|TPE|HIGHWAY|TUNNEL|福德隧道|3|-1|25.0203888|121.5994531|25.0193413|121.5990454|yes|90
TPE-18125773-6|TPE|HIGHWAY|TUNNEL|福德隧道|3|-1|25.0193413|121.5990454|25.0187993|121.5988174|yes|90
TPE-18125773-7|TPE|HIGHWAY|TUNNEL|福德隧道|3|-1|25.0187993|121.5988174|25.0176812|121.5984902|yes|90
TPE-18125773-8|TPE|HIGHWAY|TUNNEL|福德隧道|3|-1|25.0176812|121.5984902|25.0168913|121.5982917|yes|90
TPE-18125773-9|TPE|HIGHWAY|TUNNEL|福德隧道|3|-1|25.0168913|121.5982917|25.0136829|121.5974455|yes|90
TPE-18125773-10|TPE|HIGHWAY|TUNNEL|福德隧道|3|-1|25.0136829|121.5974455|25.0118641|121.5970223|yes|90
TPE-18125773-11|TPE|HIGHWAY|TUNNEL|福德隧道|3|-1|25.0118641|121.5970223|25.0091898|121.5963920|yes|90
TPE-18125779-0|TPE|HIGHWAY|TUNNEL|福德隧道|3|-1|25.0093886|121.5968192|25.0118509|121.5973579|yes|90
TPE-18125779-1|TPE|HIGHWAY|TUNNEL|福德隧道|3|-1|25.0118509|121.5973579|25.0130724|121.5976425|yes|90
TPE-18125779-2|TPE|HIGHWAY|TUNNEL|福德隧道|3|-1|25.0130724|121.5976425|25.0141947|121.5978834|yes|90
TPE-18125779-3|TPE|HIGHWAY|TUNNEL|福德隧道|3|-1|25.0141947|121.5978834|25.0155766|121.5982058|yes|90
TPE-18125779-4|TPE|HIGHWAY|TUNNEL|福德隧道|3|-1|25.0155766|121.5982058|25.0171268|121.5985775|yes|90
TPE-18125779-5|TPE|HIGHWAY|TUNNEL|福德隧道|3|-1|25.0171268|121.5985775|25.0181632|121.5989057|yes|90
TPE-18125779-6|TPE|HIGHWAY|TUNNEL|福德隧道|3|-1|25.0181632|121.5989057|25.0187482|121.5991084|yes|90
TPE-18125779-7|TPE|HIGHWAY|TUNNEL|福德隧道|3|-1|25.0187482|121.5991084|25.0192854|121.5992948|yes|90
TPE-18125779-8|TPE|HIGHWAY|TUNNEL|福德隧道|3|-1|25.0192854|121.5992948|25.0203159|121.5997454|yes|90
TPE-18125779-9|TPE|HIGHWAY|TUNNEL|福德隧道|3|-1|25.0203159|121.5997454|25.0208263|121.5999842|yes|90
TPE-18125779-10|TPE|HIGHWAY|TUNNEL|福德隧道|3|-1|25.0208263|121.5999842|25.0218489|121.6006435|yes|90
TPE-18125779-11|TPE|HIGHWAY|TUNNEL|福德隧道|3|-1|25.0218489|121.6006435|25.0225741|121.6012028|yes|90
TPE-18125779-12|TPE|HIGHWAY|TUNNEL|福德隧道|3|-1|25.0225741|121.6012028|25.0237051|121.6023272|yes|90
TPE-18125780-0|TPE|HIGHWAY|MAINLINE|福爾摩沙高速公路|3|0|25.0237051|121.6023272|25.0240987|121.6027083|yes|90
TPE-18125780-1|TPE|HIGHWAY|MAINLINE|福爾摩沙高速公路|3|0|25.0240987|121.6027083|25.0244847|121.6030848|yes|90
TPE-18125780-2|TPE|HIGHWAY|MAINLINE|福爾摩沙高速公路|3|0|25.0244847|121.6030848|25.0250721|121.6037245|yes|90
TPE-18125780-3|TPE|HIGHWAY|MAINLINE|福爾摩沙高速公路|3|0|25.0250721|121.6037245|25.0257408|121.6045082|yes|90
TPE-18125780-4|TPE|HIGHWAY|MAINLINE|福爾摩沙高速公路|3|0|25.0257408|121.6045082|25.0259896|121.6048384|yes|90
TPE-18125780-5|TPE|HIGHWAY|MAINLINE|福爾摩沙高速公路|3|0|25.0259896|121.6048384|25.0265310|121.6056009|yes|90
TPE-18125780-6|TPE|HIGHWAY|MAINLINE|福爾摩沙高速公路|3|0|25.0265310|121.6056009|25.0269646|121.6062331|yes|90
TPE-18142739-0|TPE|HIGHWAY|RAMP|南港系統交流道||2|25.0340721|121.6182701|25.0341296|121.6184163|yes|60
TPE-18142739-1|TPE|HIGHWAY|RAMP|南港系統交流道||2|25.0341296|121.6184163|25.0342155|121.6186094|yes|60
TPE-18142739-2|TPE|HIGHWAY|RAMP|南港系統交流道||2|25.0342155|121.6186094|25.0345374|121.6191562|yes|60
TPE-18142747-0|TPE|HIGHWAY|RAMP|南港系統交流道||0|25.0356548|121.6203838|25.0353683|121.6198889|yes|40
TPE-18142747-1|TPE|HIGHWAY|RAMP|南港系統交流道||0|25.0353683|121.6198889|25.0352344|121.6196085|yes|40
TPE-18142747-2|TPE|HIGHWAY|RAMP|南港系統交流道||0|25.0352344|121.6196085|25.0352093|121.6194713|yes|40
TPE-18142747-3|TPE|HIGHWAY|RAMP|南港系統交流道||0|25.0352093|121.6194713|25.0352118|121.6193564|yes|40
TPE-18142747-4|TPE|HIGHWAY|RAMP|南港系統交流道||0|25.0352118|121.6193564|25.0352355|121.6192566|yes|40
TPE-18142747-5|TPE|HIGHWAY|RAMP|南港系統交流道||0|25.0352355|121.6192566|25.0352825|121.6191705|yes|40
TPE-18142747-6|TPE|HIGHWAY|RAMP|南港系統交流道||0|25.0352825|121.6191705|25.0353504|121.6190683|yes|40
TPE-18142747-7|TPE|HIGHWAY|RAMP|南港系統交流道||0|25.0353504|121.6190683|25.0354511|121.6189892|yes|40
TPE-18142747-8|TPE|HIGHWAY|RAMP|南港系統交流道||0|25.0354511|121.6189892|25.0355521|121.6189543|yes|40
TPE-18142747-9|TPE|HIGHWAY|RAMP|南港系統交流道||0|25.0355521|121.6189543|25.0356509|121.6189382|yes|40
TPE-18142747-10|TPE|HIGHWAY|RAMP|南港系統交流道||0|25.0356509|121.6189382|25.0357747|121.6189623|yes|40
TPE-18142747-11|TPE|HIGHWAY|RAMP|南港系統交流道||0|25.0357747|121.6189623|25.0358959|121.6190197|yes|40
TPE-18142747-12|TPE|HIGHWAY|RAMP|南港系統交流道||0|25.0358959|121.6190197|25.0359857|121.6190970|yes|40
TPE-18142747-13|TPE|HIGHWAY|RAMP|南港系統交流道||0|25.0359857|121.6190970|25.0360426|121.6191860|yes|40
TPE-18142747-14|TPE|HIGHWAY|RAMP|南港系統交流道||0|25.0360426|121.6191860|25.0360955|121.6192837|yes|40
TPE-18142747-15|TPE|HIGHWAY|RAMP|南港系統交流道||0|25.0360955|121.6192837|25.0361257|121.6193751|yes|40
TPE-18142747-16|TPE|HIGHWAY|RAMP|南港系統交流道||0|25.0361257|121.6193751|25.0361427|121.6194706|yes|40
TPE-18142747-17|TPE|HIGHWAY|RAMP|南港系統交流道||0|25.0361427|121.6194706|25.0361577|121.6195904|yes|40
TPE-18142747-18|TPE|HIGHWAY|RAMP|南港系統交流道||0|25.0361577|121.6195904|25.0361629|121.6197072|yes|40
TPE-18142751-0|TPE|HIGHWAY|RAMP|南港系統交流道||1|25.0353527|121.6236899|25.0354888|121.6233463|yes|50
TPE-18142751-1|TPE|HIGHWAY|RAMP|南港系統交流道||1|25.0354888|121.6233463|25.0355970|121.6230764|yes|50
TPE-18142751-2|TPE|HIGHWAY|RAMP|南港系統交流道||1|25.0355970|121.6230764|25.0357708|121.6228554|yes|50
TPE-18142751-3|TPE|HIGHWAY|RAMP|南港系統交流道||1|25.0357708|121.6228554|25.0359266|121.6226971|yes|50
TPE-18142751-4|TPE|HIGHWAY|RAMP|南港系統交流道||1|25.0359266|121.6226971|25.0360827|121.6225906|yes|50
TPE-18142753-0|TPE|HIGHWAY|RAMP|南港系統交流道||1|25.0353527|121.6236899|25.0356311|121.6226727|yes|40
TPE-18142760-0|TPE|HIGHWAY|RAMP|南港系統交流道||1|25.0361629|121.6197072|25.0361429|121.6198734|yes|40
TPE-18142760-1|TPE|HIGHWAY|RAMP|南港系統交流道||1|25.0361429|121.6198734|25.0361097|121.6200115|yes|40
TPE-18142760-2|TPE|HIGHWAY|RAMP|南港系統交流道||1|25.0361097|121.6200115|25.0360703|121.6201711|yes|40
TPE-18142760-3|TPE|HIGHWAY|RAMP|南港系統交流道||1|25.0360703|121.6201711|25.0357872|121.6211328|yes|40
TPE-18142762-0|TPE|HIGHWAY|RAMP|南港系統交流道||0|25.0357872|121.6211328|25.0352770|121.6227227|yes|40
TPE-18142765-0|TPE|HIGHWAY|RAMP|南港系統交流道||1|25.0359688|121.6212859|25.0362081|121.6202258|yes|40
TPE-18142765-1|TPE|HIGHWAY|RAMP|南港系統交流道||1|25.0362081|121.6202258|25.0362554|121.6200081|yes|40
TPE-18142765-2|TPE|HIGHWAY|RAMP|南港系統交流道||1|25.0362554|121.6200081|25.0362754|121.6197945|yes|40
TPE-18142771-0|TPE|HIGHWAY|RAMP|南港系統交流道||0|25.0362754|121.6197945|25.0362782|121.6195981|yes|40
TPE-18142771-1|TPE|HIGHWAY|RAMP|南港系統交流道||0|25.0362782|121.6195981|25.0362670|121.6194442|yes|40
TPE-18142771-2|TPE|HIGHWAY|RAMP|南港系統交流道||0|25.0362670|121.6194442|25.0362300|121.6192961|yes|40
TPE-18142771-3|TPE|HIGHWAY|RAMP|南港系統交流道||0|25.0362300|121.6192961|25.0361867|121.6191636|yes|40
TPE-18142771-4|TPE|HIGHWAY|RAMP|南港系統交流道||0|25.0361867|121.6191636|25.0360960|121.6190171|yes|40
TPE-18142771-5|TPE|HIGHWAY|RAMP|南港系統交流道||0|25.0360960|121.6190171|25.0359995|121.6189188|yes|40
TPE-18142771-6|TPE|HIGHWAY|RAMP|南港系統交流道||0|25.0359995|121.6189188|25.0359000|121.6188373|yes|40
TPE-18142771-7|TPE|HIGHWAY|RAMP|南港系統交流道||0|25.0359000|121.6188373|25.0357698|121.6187791|yes|40
TPE-18142771-8|TPE|HIGHWAY|RAMP|南港系統交流道||0|25.0357698|121.6187791|25.0356482|121.6187512|yes|40
TPE-18142771-9|TPE|HIGHWAY|RAMP|南港系統交流道||0|25.0356482|121.6187512|25.0355519|121.6187356|yes|40
TPE-18142771-10|TPE|HIGHWAY|RAMP|南港系統交流道||0|25.0355519|121.6187356|25.0353682|121.6187153|yes|40
TPE-18142773-0|TPE|HIGHWAY|TUNNEL|南港隧道|5|-1|25.0344199|121.6255389|25.0338721|121.6272783|yes|80
TPE-18142773-1|TPE|HIGHWAY|TUNNEL|南港隧道|5|-1|25.0338721|121.6272783|25.0336146|121.6280937|yes|80
TPE-18142773-2|TPE|HIGHWAY|TUNNEL|南港隧道|5|-1|25.0336146|121.6280937|25.0332713|121.6289949|yes|80
TPE-18142773-3|TPE|HIGHWAY|TUNNEL|南港隧道|5|-1|25.0332713|121.6289949|25.0329924|121.6296172|yes|80
TPE-18142783-0|TPE|HIGHWAY|TUNNEL|石碇隧道|5|-1|25.0125444|121.6442460|25.0129578|121.6439938|yes|80
TPE-18142783-1|TPE|HIGHWAY|TUNNEL|石碇隧道|5|-1|25.0129578|121.6439938|25.0134209|121.6437739|yes|80
TPE-18142783-2|TPE|HIGHWAY|TUNNEL|石碇隧道|5|-1|25.0134209|121.6437739|25.0142010|121.6434078|yes|80
TPE-18142783-3|TPE|HIGHWAY|TUNNEL|石碇隧道|5|-1|25.0142010|121.6434078|25.0152040|121.6430283|yes|80
TPE-18142783-4|TPE|HIGHWAY|TUNNEL|石碇隧道|5|-1|25.0152040|121.6430283|25.0182514|121.6421727|yes|80
TPE-18142783-5|TPE|HIGHWAY|TUNNEL|石碇隧道|5|-1|25.0182514|121.6421727|25.0205255|121.6413760|yes|80
TPE-18142783-6|TPE|HIGHWAY|TUNNEL|石碇隧道|5|-1|25.0205255|121.6413760|25.0217056|121.6409683|yes|80
TPE-18142783-7|TPE|HIGHWAY|TUNNEL|石碇隧道|5|-1|25.0217056|121.6409683|25.0224336|121.6406641|yes|80
TPE-18142783-8|TPE|HIGHWAY|TUNNEL|石碇隧道|5|-1|25.0224336|121.6406641|25.0226712|121.6405606|yes|80
TPE-18142783-9|TPE|HIGHWAY|TUNNEL|石碇隧道|5|-1|25.0226712|121.6405606|25.0235939|121.6400886|yes|80
TPE-18142783-10|TPE|HIGHWAY|TUNNEL|石碇隧道|5|-1|25.0235939|121.6400886|25.0245717|121.6396835|yes|80
TPE-18142783-11|TPE|HIGHWAY|TUNNEL|石碇隧道|5|-1|25.0245717|121.6396835|25.0256324|121.6388869|yes|80
TPE-18142783-12|TPE|HIGHWAY|TUNNEL|石碇隧道|5|-1|25.0256324|121.6388869|25.0268100|121.6381547|yes|80
TPE-18142783-13|TPE|HIGHWAY|TUNNEL|石碇隧道|5|-1|25.0268100|121.6381547|25.0272961|121.6378060|yes|80
TPE-18142783-14|TPE|HIGHWAY|TUNNEL|石碇隧道|5|-1|25.0272961|121.6378060|25.0278259|121.6373420|yes|80
TPE-18142783-15|TPE|HIGHWAY|TUNNEL|石碇隧道|5|-1|25.0278259|121.6373420|25.0282294|121.6370174|yes|80
TPE-18142783-16|TPE|HIGHWAY|TUNNEL|石碇隧道|5|-1|25.0282294|121.6370174|25.0289366|121.6363066|yes|80
TPE-18142783-17|TPE|HIGHWAY|TUNNEL|石碇隧道|5|-1|25.0289366|121.6363066|25.0300199|121.6351131|yes|80
TPE-18142783-18|TPE|HIGHWAY|TUNNEL|石碇隧道|5|-1|25.0300199|121.6351131|25.0305353|121.6344800|yes|80
TPE-18142783-19|TPE|HIGHWAY|TUNNEL|石碇隧道|5|-1|25.0305353|121.6344800|25.0311758|121.6335895|yes|80
TPE-18142783-20|TPE|HIGHWAY|TUNNEL|石碇隧道|5|-1|25.0311758|121.6335895|25.0316948|121.6328117|yes|80
TPE-18142783-21|TPE|HIGHWAY|TUNNEL|石碇隧道|5|-1|25.0316948|121.6328117|25.0319952|121.6323182|yes|80
TPE-18142783-22|TPE|HIGHWAY|TUNNEL|石碇隧道|5|-1|25.0319952|121.6323182|25.0323347|121.6317653|yes|80
TPE-18142783-23|TPE|HIGHWAY|TUNNEL|石碇隧道|5|-1|25.0323347|121.6317653|25.0327930|121.6307528|yes|80
TPE-23241818-0|TPE|HIGHWAY|MAINLINE|福爾摩沙高速公路|3|0|25.0356548|121.6203838|25.0353581|121.6200198|yes|90
TPE-23241818-1|TPE|HIGHWAY|MAINLINE|福爾摩沙高速公路|3|0|25.0353581|121.6200198|25.0346879|121.6190441|yes|90
TPE-23241819-0|TPE|HIGHWAY|ELEVATED|福爾摩沙高速公路|3|2|25.0340721|121.6182701|25.0345840|121.6191244|yes|90
TPE-23241834-0|TPE|HIGHWAY|RAMP|南港聯絡道||2|25.0475225|121.6224415|25.0479331|121.6220239|yes|
TPE-23241834-1|TPE|HIGHWAY|RAMP|南港聯絡道||2|25.0479331|121.6220239|25.0484020|121.6216511|yes|
TPE-23241834-2|TPE|HIGHWAY|RAMP|南港聯絡道||2|25.0484020|121.6216511|25.0488807|121.6213372|yes|
TPE-23241834-3|TPE|HIGHWAY|RAMP|南港聯絡道||2|25.0488807|121.6213372|25.0492407|121.6211519|yes|
TPE-23241834-4|TPE|HIGHWAY|RAMP|南港聯絡道||2|25.0492407|121.6211519|25.0495014|121.6210295|yes|
TPE-23241834-5|TPE|HIGHWAY|RAMP|南港聯絡道||2|25.0495014|121.6210295|25.0497881|121.6209139|yes|
TPE-23241834-6|TPE|HIGHWAY|RAMP|南港聯絡道||2|25.0497881|121.6209139|25.0500793|121.6208238|yes|
TPE-23241834-7|TPE|HIGHWAY|RAMP|南港聯絡道||2|25.0500793|121.6208238|25.0503736|121.6207447|yes|
TPE-23241834-8|TPE|HIGHWAY|RAMP|南港聯絡道||2|25.0503736|121.6207447|25.0507372|121.6206694|yes|
TPE-23241834-9|TPE|HIGHWAY|RAMP|南港聯絡道||2|25.0507372|121.6206694|25.0510450|121.6206191|yes|
TPE-23241834-10|TPE|HIGHWAY|RAMP|南港聯絡道||2|25.0510450|121.6206191|25.0513936|121.6206000|yes|
TPE-23241834-11|TPE|HIGHWAY|RAMP|南港聯絡道||2|25.0513936|121.6206000|25.0517263|121.6206045|yes|
TPE-23241834-12|TPE|HIGHWAY|RAMP|南港聯絡道||2|25.0517263|121.6206045|25.0520294|121.6206189|yes|
TPE-23241834-13|TPE|HIGHWAY|RAMP|南港聯絡道||2|25.0520294|121.6206189|25.0523852|121.6206548|yes|
