# id|region|road_class|structure|name|ref|layer|lat1|lon1|lat2|lon2|oneway|maxspeed
# Official open-data overlay; generated by tools/build_special_roads_open_data.py.
# Sources: Taipei bridges/vehicle underpasses + New Taipei bridges; collected 2026-09-22.
OFF-NTPC-BRIDGE-1014-0|NTPC|URBAN|ELEVATED|臺一線高架橋(第一標)S32~S35|1014|1|25.0603710|121.4592520|25.0603560|121.4576530||
OFF-NTPC-BRIDGE-652-0|NTPC|URBAN|ELEVATED|中山高架橋|652|1|25.0544950|121.4962320|25.0615700|121.4796810||
OFF-NTPC-BRIDGE-750-0|NTPC|URBAN|ELEVATED|臺一線高架橋(第一標)|750|1|25.0613710|121.4723110|25.0570540|121.4426720||
OFF-NTPC-BRIDGE-759-0|NTPC|URBAN|ELEVATED|臺一線高架橋(第二標)|759|1|25.0555620|121.4412750|25.0485950|121.4359120||
OFF-NTPC-BRIDGE-775-0|NTPC|URBAN|ELEVATED|民和巷高架橋(2B-7)|775|1|24.9681200|121.3855340|24.9682660|121.3895650||
OFF-NTPC-BRIDGE-800-0|NTPC|URBAN|ELEVATED|民生高架橋(2C-2)|800|1|25.0194720|121.4702640|25.0165610|121.4724840||
OFF-NTPC-BRIDGE-803-0|NTPC|URBAN|ELEVATED|中山高架橋2D-1(A)|803|1|24.9591030|121.3398740|24.9570594|121.3419006||
OFF-NTPC-BRIDGE-885-0|NTPC|URBAN|ELEVATED|中山高架橋2D-1(B)|885|1|24.9582260|121.3393440|24.9581570|121.3402520||
OFF-NTPC-BRIDGE-1017-0|NTPC|EXPRESSWAY|RAMP|東西向快速公路八里新店線-五股二交流道(機車道1)|1017|1|25.0815280|121.4477600|25.0801140|121.4501200||
OFF-NTPC-BRIDGE-1018-0|NTPC|EXPRESSWAY|RAMP|東西向快速公路八里新店線-五股二交流道(機車道2)|1018|1|25.0797340|121.4506020|25.0775590|121.4493150||
OFF-NTPC-BRIDGE-575-0|NTPC|EXPRESSWAY|RAMP|新北環快(第四標)匝道3|575|1|25.0473190|121.4801350|25.0458460|121.4771140||
OFF-NTPC-BRIDGE-576-0|NTPC|EXPRESSWAY|RAMP|新北環快(第四標)匝道5|576|1|25.0458660|121.4775820|25.0436760|121.4787930||
OFF-NTPC-BRIDGE-577-0|NTPC|EXPRESSWAY|RAMP|新北環快(第四標)匝道6|577|1|25.0376460|121.4794190|25.0403230|121.4805050||
OFF-NTPC-BRIDGE-578-0|NTPC|EXPRESSWAY|RAMP|新北環快(第四標)匝道7|578|1|25.0376080|121.4798130|25.0403950|121.4806830||
OFF-NTPC-BRIDGE-579-0|NTPC|EXPRESSWAY|RAMP|新北環快(第四標)匝道B|579|1|25.0408520|121.4800560|25.0373490|121.4811840||
OFF-NTPC-BRIDGE-580-0|NTPC|EXPRESSWAY|RAMP|新北環快(第四標)匝道C|580|1|25.0373630|121.4814350|25.0410440|121.4805010||
OFF-NTPC-BRIDGE-581-0|NTPC|EXPRESSWAY|RAMP|新北環快(第五標)匝道8|581|1|25.0366190|121.4789460|25.0374910|121.4795070||
OFF-NTPC-BRIDGE-582-0|NTPC|EXPRESSWAY|RAMP|新北環快(第五標)匝道9b|582|1|25.0329340|121.4816490|25.0316840|121.4819940||
OFF-NTPC-BRIDGE-583-0|NTPC|EXPRESSWAY|RAMP|新北環快(第五標)機車匝道C1|583|1|25.0277640|121.4829650|25.0281230|121.4839140||
OFF-NTPC-BRIDGE-584-0|NTPC|EXPRESSWAY|RAMP|新北環快(第五標)匝道9a|584|1|25.0355270|121.4812660|25.0333540|121.4814910||
OFF-NTPC-BRIDGE-585-0|NTPC|EXPRESSWAY|RAMP|新北環快(第五標)匝道11|585|1|25.0259700|121.4840730|25.0279030|121.4840120||
OFF-NTPC-BRIDGE-586-0|NTPC|EXPRESSWAY|RAMP|新北環快(第五標)匝道10|586|1|25.0280680|121.4839130|25.0304570|121.4824380||
OFF-NTPC-BRIDGE-587-0|NTPC|EXPRESSWAY|RAMP|新北環快(第五標)匝道8a|587|1|25.0360910|121.4795620|25.0372500|121.4782200||
OFF-NTPC-BRIDGE-588-0|NTPC|EXPRESSWAY|RAMP|新北環快(第六標)上橋匝道|588|1|25.0160119|121.4869680|25.0148903|121.4872224||
OFF-NTPC-BRIDGE-589-0|NTPC|EXPRESSWAY|RAMP|新北環快(第六標)下橋匝道|589|1|25.0160021|121.4868875|25.0126911|121.4879456||
OFF-NTPC-BRIDGE-591-0|NTPC|EXPRESSWAY|RAMP|新北環快(第七標)匝道A|591|1|25.0132780|121.5047560|25.0120080|121.5047440||
OFF-NTPC-BRIDGE-592-0|NTPC|EXPRESSWAY|RAMP|新北環快(第八標)匝道B|592|1|25.0178050|121.5112050|25.0172870|121.5107910||
OFF-NTPC-BRIDGE-594-0|NTPC|EXPRESSWAY|RAMP|新北環快(第八標)匝道C|594|1|25.0185530|121.5154280|25.0183460|121.5137340||
