city,id,offset_m,old_lat,old_lon,new_lat,new_lon,road,location,source,source_date
Taipei,7,14.0,25.03301693,121.4966843,25.033098,121.49679,艋舺大道297號前,台糖公司前,Taipei Police current fixed-camera PDF,2026-09-09 page update / PDF current as retrieved 2026-09-26
Taipei,8,11.6,25.03051254,121.4897124,25.03056,121.48961,萬板大橋,台北端引道,Taipei Police current fixed-camera PDF,2026-09-09 page update / PDF current as retrieved 2026-09-26
Taipei,9,5.3,25.04378495,121.5004223,25.043744,121.500396,環河南路快速道路,中興橋匝道(環河南路2段250巷口),Taipei Police current fixed-camera PDF,2026-09-09 page update / PDF current as retrieved 2026-09-26
Taipei,11,3.8,25.04454625,121.501135,25.044512,121.50114,環河南路1段77號對面,,Taipei Police current fixed-camera PDF,2026-09-09 page update / PDF current as retrieved 2026-09-26
Taipei,12,16.7,25.01908628,121.4971515,25.019234,121.49712,華中橋頭,萬大路口,Taipei Police current fixed-camera PDF,2026-09-09 page update / PDF current as retrieved 2026-09-26
Taipei,20,8.8,25.05268643,121.5367159,25.052633,121.53678,建國高架道,長春路入口,Taipei Police current fixed-camera PDF,2026-09-09 page update / PDF current as retrieved 2026-09-26
Taipei,21,5.0,25.066527,121.527737,25.066557,121.5277,新生北路高架道,民族東路入口,Taipei Police current fixed-camera PDF,2026-09-09 page update / PDF current as retrieved 2026-09-26
Taipei,22,2.0,25.07178967,121.5443293,25.071774,121.54434,復興北路,車行地下道北出口處,Taipei Police current fixed-camera PDF,2026-09-09 page update / PDF current as retrieved 2026-09-26
Taipei,23,11.6,25.07656613,121.5663528,25.076668,121.566376,樂群一路,基湖路口西往東天橋下(金泰公園),Taipei Police current fixed-camera PDF,2026-09-09 page update / PDF current as retrieved 2026-09-26
Taipei,24,16.2,25.07762563,121.5407676,25.077658,121.540924,明水路325號前,,Taipei Police current fixed-camera PDF,2026-09-09 page update / PDF current as retrieved 2026-09-26
Taipei,26,11.9,25.07790066,121.5363861,25.077879,121.53627,北安路,海軍司令部前,Taipei Police current fixed-camera PDF,2026-09-09 page update / PDF current as retrieved 2026-09-26
Taipei,27,6.4,25.04820806,121.5198336,25.048206,121.51977,市民大道(高架道),京站百貨前,Taipei Police current fixed-camera PDF,2026-09-09 page update / PDF current as retrieved 2026-09-26
Taipei,38,6.3,25.01850222,121.5459226,25.018555,121.545944,基隆高架道,下敦化南路段,Taipei Police current fixed-camera PDF,2026-09-09 page update / PDF current as retrieved 2026-09-26
Taipei,39,5.2,25.01722043,121.548786,25.017244,121.54883,辛亥路3段,157巷口(下北二高),Taipei Police current fixed-camera PDF,2026-09-09 page update / PDF current as retrieved 2026-09-26
Taipei,40,7.0,25.03034497,121.5336904,25.030283,121.53368,新生南路,金華街口,Taipei Police current fixed-camera PDF,2026-09-09 page update / PDF current as retrieved 2026-09-26
Taipei,41,3.0,25.02673255,121.5267673,25.026731,121.526738,和平東路1段,國立師範大學前,Taipei Police current fixed-camera PDF,2026-09-09 page update / PDF current as retrieved 2026-09-26
Taipei,42,8.2,25.02772621,121.5378418,25.027754,121.537917,建國南路2段179號前,,Taipei Police current fixed-camera PDF,2026-09-09 page update / PDF current as retrieved 2026-09-26
Taipei,43,5.5,25.0444703,121.5399541,25.044518,121.53994,市民大道3段214號前,,Taipei Police current fixed-camera PDF,2026-09-09 page update / PDF current as retrieved 2026-09-26
Taipei,44,5.7,25.01659683,121.5438055,25.016639,121.543838,基隆路3段,長興街口,Taipei Police current fixed-camera PDF,2026-09-09 page update / PDF current as retrieved 2026-09-26
Taipei,45,9.4,25.02612189,121.5376363,25.026205,121.53762,建國高架道,和平東路上方,Taipei Police current fixed-camera PDF,2026-09-09 page update / PDF current as retrieved 2026-09-26
Taipei,52,5.6,25.04308855,121.508633,25.043074,121.50858,中華路1段53號前,,Taipei Police current fixed-camera PDF,2026-09-09 page update / PDF current as retrieved 2026-09-26
Taipei,53,9.9,25.03827359,121.5301224,25.038351,121.53017,仁愛路2段61號前右車道,臨沂街口,Taipei Police current fixed-camera PDF,2026-09-09 page update / PDF current as retrieved 2026-09-26
Taipei,54,21.4,25.04297255,121.5189067,25.04299,121.518695,中山南路,近濟南路1段口,Taipei Police current fixed-camera PDF,2026-09-09 page update / PDF current as retrieved 2026-09-26
Taipei,55,6.6,25.02855774,121.5156319,25.028524,121.515686,重慶南路3段,27巷口,Taipei Police current fixed-camera PDF,2026-09-09 page update / PDF current as retrieved 2026-09-26
Taipei,63,20.7,25.05794115,121.5518524,25.05797,121.552055,民生東路4段,97巷口,Taipei Police current fixed-camera PDF,2026-09-09 page update / PDF current as retrieved 2026-09-26
Taipei,64,7.1,25.06684145,121.5443102,25.066849,121.54438,復興北路,車行地下道南出口處,Taipei Police current fixed-camera PDF,2026-09-09 page update / PDF current as retrieved 2026-09-26
Taipei,65,4.2,25.05426405,121.5656356,25.054245,121.5656,健康路300號前,,Taipei Police current fixed-camera PDF,2026-09-09 page update / PDF current as retrieved 2026-09-26
Taipei,66,8.8,25.06200353,121.5684999,25.06195,121.568436,塔悠路,近撫遠街261巷口,Taipei Police current fixed-camera PDF,2026-09-09 page update / PDF current as retrieved 2026-09-26
Taipei,67,6.7,25.06210619,121.5574655,25.06205,121.55749,民權東路4段,民權公園前,Taipei Police current fixed-camera PDF,2026-09-09 page update / PDF current as retrieved 2026-09-26
Taipei,72,9.8,25.04131564,121.5598827,25.04131,121.55998,忠孝東路4段 ,近逸仙路口,Taipei Police current fixed-camera PDF,2026-09-09 page update / PDF current as retrieved 2026-09-26
Taipei,79,9.0,25.08245929,121.5073719,25.082521,121.50743,環河北路3段,葫蘆街口,Taipei Police current fixed-camera PDF,2026-09-09 page update / PDF current as retrieved 2026-09-26
Taipei,80,8.1,25.10824082,121.5460187,25.10817,121.546036,仰德大道2段,115巷口,Taipei Police current fixed-camera PDF,2026-09-09 page update / PDF current as retrieved 2026-09-26
Taipei,81,12.9,25.13206152,121.5464555,25.132162,121.54652,仰德大道4段75號,格致中學前,Taipei Police current fixed-camera PDF,2026-09-09 page update / PDF current as retrieved 2026-09-26
Taipei,82,18.6,25.08651629,121.5229866,25.08667,121.52306,承德路4段,百齡高中前,Taipei Police current fixed-camera PDF,2026-09-09 page update / PDF current as retrieved 2026-09-26
Taipei,83,6.6,25.10405783,121.5425043,25.104001,121.542523,仰德大道2段,29巷口,Taipei Police current fixed-camera PDF,2026-09-09 page update / PDF current as retrieved 2026-09-26
