corridor_name,name_match_intersections,with_detailed_plan,with_schedule_table,plan_coverage_pct,note
忠孝東路/忠孝西路,4,4,4,100.0,name_based_heuristic_not_topology
仁愛路,29,29,29,100.0,name_based_heuristic_not_topology
信義路,36,36,36,100.0,name_based_heuristic_not_topology
和平東路/和平西路,2,2,2,100.0,name_based_heuristic_not_topology
南京東路/南京西路,14,14,14,100.0,name_based_heuristic_not_topology
民權東路/民權西路,11,11,11,100.0,name_based_heuristic_not_topology
民生東路/民生西路,13,13,13,100.0,name_based_heuristic_not_topology
市民大道,68,68,68,100.0,name_based_heuristic_not_topology
八德路,61,61,61,100.0,name_based_heuristic_not_topology
長安東路/長安西路,12,12,12,100.0,name_based_heuristic_not_topology
中山南路/中山北路,7,7,7,100.0,name_based_heuristic_not_topology
新生南路/新生北路,1,1,1,100.0,name_based_heuristic_not_topology
建國南路/建國北路,0,0,0,0,name_based_heuristic_not_topology
復興南路/復興北路,19,19,19,100.0,name_based_heuristic_not_topology
敦化南路/敦化北路,15,15,15,100.0,name_based_heuristic_not_topology
光復南路/光復北路,32,32,32,100.0,name_based_heuristic_not_topology
基隆路,38,38,38,100.0,name_based_heuristic_not_topology
羅斯福路,2,2,2,100.0,name_based_heuristic_not_topology
承德路,54,54,54,100.0,name_based_heuristic_not_topology
重慶南路/重慶北路,1,1,1,100.0,name_based_heuristic_not_topology
環河北路,1,1,1,100.0,name_based_heuristic_not_topology
