priority_tier,axis,corridor_name,status
A,E-W,忠孝東路/忠孝西路,planning_seed_needs_official_osm_reconcile
A,E-W,仁愛路,planning_seed_needs_official_osm_reconcile
A,E-W,信義路,planning_seed_needs_official_osm_reconcile
A,E-W,和平東路/和平西路,planning_seed_needs_official_osm_reconcile
A,E-W,南京東路/南京西路,planning_seed_needs_official_osm_reconcile
A,E-W,民權東路/民權西路,planning_seed_needs_official_osm_reconcile
A,E-W,民生東路/民生西路,planning_seed_needs_official_osm_reconcile
A,E-W,市民大道,planning_seed_needs_official_osm_reconcile
A,E-W,八德路,planning_seed_needs_official_osm_reconcile
A,E-W,長安東路/長安西路,planning_seed_needs_official_osm_reconcile
A,N-S,中山南路/中山北路,planning_seed_needs_official_osm_reconcile
A,N-S,新生南路/新生北路,planning_seed_needs_official_osm_reconcile
A,N-S,建國南路/建國北路,planning_seed_needs_official_osm_reconcile
A,N-S,復興南路/復興北路,planning_seed_needs_official_osm_reconcile
A,N-S,敦化南路/敦化北路,planning_seed_needs_official_osm_reconcile
A,N-S,光復南路/光復北路,planning_seed_needs_official_osm_reconcile
A,N-S,基隆路,planning_seed_needs_official_osm_reconcile
A,N-S,羅斯福路,planning_seed_needs_official_osm_reconcile
A,N-S,承德路,planning_seed_needs_official_osm_reconcile
A,N-S,重慶南路/重慶北路,planning_seed_needs_official_osm_reconcile
A,N-S,環河北路,planning_seed_needs_official_osm_reconcile
